id,title,author,pages,image,quantity
,Things Fall Apart,Chinua Achebe,209,things-fall-apart.jpg,1
,Fairy tales,Hans Christian Andersen,784,fairy-tales.jpg,1
,The Divine Comedy,Dante Alighieri,928,the-divine-comedy.jpg,1
,The Epic Of Gilgamesh,Unknown,160,the-epic-of-gilgamesh.jpg,1
,The Book Of Job,Unknown,176,the-book-of-job.jpg,1
,One Thousand and One Nights,Unknown,288,one-thousand-and-one-nights.jpg,1
,Njál's Saga,Unknown,384,njals-saga.jpg,1
,Pride and Prejudice,Jane Austen,226,pride-and-prejudice.jpg,1
,Le Père Goriot,Honoré de Balzac,443,le-pere-goriot.jpg,1
,"Molloy, Malone Dies, The Unnamable, the trilogy",Samuel Beckett,256,molloy-malone-dies-the-unnamable.jpg,1
,The Decameron,Giovanni Boccaccio,1024,the-decameron.jpg,1
,Ficciones,Jorge Luis Borges,224,ficciones.jpg,1
,Wuthering Heights,Emily Brontë,342,wuthering-heights.jpg,1
,The Stranger,Albert Camus,185,l-etranger.jpg,1
,Poems,Paul Celan,320,poems-paul-celan.jpg,1
,Journey to the End of the Night,Louis-Ferdinand Céline,505,voyage-au-bout-de-la-nuit.jpg,1
,Don Quijote De La Mancha,Miguel de Cervantes,1056,don-quijote-de-la-mancha.jpg,1
,The Canterbury Tales,Geoffrey Chaucer,544,the-canterbury-tales.jpg,1
,Stories,Anton Chekhov,194,stories-of-anton-chekhov.jpg,1
,Nostromo,Joseph Conrad,320,nostromo.jpg,1
,Great Expectations,Charles Dickens,194,great-expectations.jpg,1
,Jacques the Fatalist,Denis Diderot,596,jacques-the-fatalist.jpg,1
,Berlin Alexanderplatz,Alfred Döblin,600,berlin-alexanderplatz.jpg,1
,Crime and Punishment,Fyodor Dostoevsky,551,crime-and-punishment.jpg,1
,The Idiot,Fyodor Dostoevsky,656,the-idiot.jpg,1
,The Possessed,Fyodor Dostoevsky,768,the-possessed.jpg,1
,The Brothers Karamazov,Fyodor Dostoevsky,824,the-brothers-karamazov.jpg,1
,Middlemarch,George Eliot,800,middlemarch.jpg,1
,Invisible Man,Ralph Ellison,581,invisible-man.jpg,1
,Medea,Euripides,104,medea.jpg,1
,"Absalom, Absalom!",William Faulkner,313,absalom-absalom.jpg,1
,The Sound and the Fury,William Faulkner,326,the-sound-and-the-fury.jpg,1
,Madame Bovary,Gustave Flaubert,528,madame-bovary.jpg,1
,Sentimental Education,Gustave Flaubert,606,l-education-sentimentale.jpg,1
